	Gewinn Gesamt	Kosten
349	-122609.93849413423	181249.72849413424
350	-122470.48049413424	181254.25149413425
351	-115115.75549413424	181258.77449413424
352	-114956.90849413423	181263.29649413424
353	-108466.71749413424	181267.81949413425
354	-108288.29349413424	181272.34149413425
355	-115980.57249413425	181276.86449413424
356	-115824.11149413424	181281.38649413423
357	-124131.22849413424	181285.90949413425
358	-123995.71349413424	181290.43149413425
359	-128829.12649413424	181294.95449413423
360	-128705.52049413424	181299.47649413423
361	-125024.61849413424	181303.99949413424
362	-124894.55749413423	181308.52149413424
363	-114948.30149413424	181313.04449413423
364	-114791.45949413424	181317.56749413424
365	-111361.82049413424	181322.08949413424
366	-111196.91049413424	181326.61249413423
367	-121193.30149413424	181331.13449413422
368	-121057.12649413424	181335.65749413424
369	-119807.50149413424	181340.17949413424
370	-119669.77349413424	181344.70249413422
371	-124659.22649413423	181349.22449413425
372	-124525.95649413424	181353.74749413424
373	-124451.63849413424	181358.26949413423
374	-124320.16749413424	181362.79249413425
375	-116305.84349413424	181367.31549413424
376	-116161.54249413424	181371.83749413423
377	-118711.36949413424	181376.36049413425
378	-118572.74349413424	181380.88249413425
379	-121412.38449413424	181385.40549413423
380	-121282.91549413424	181389.92749413423
381	-116330.49149413424	181394.45049413425
382	-116185.52549413423	181398.97249413424
383	-109546.75049413423	181403.49549413423
384	-109383.14449413423	181408.01749413423
385	-109689.17549413424	181412.54049413424
386	-109525.02249413423	181417.06349413423
387	-115337.50749413425	181421.58549413423
388	-115187.01949413423	181426.10849413424
389	-112786.90249413424	181430.63049413424
390	-112621.43749413424	181435.15349413423
391	-115426.55349413425	181439.67549413425
392	-115268.60649413423	181444.19849413424
393	-113932.59749413424	181448.72049413424
394	-113784.19849413424	181453.24349413425
395	-110235.00949413424	181457.76549413425
396	-110077.32949413423	181462.28849413423
397	-98756.83249413424	181466.81049413423
398	-98573.11349413423	181471.33349413425
399	-105683.12049413424	181475.85649413423
400	-105516.27049413424	181480.37849413423
401	-115789.56549413424	181484.90149413425
402	-115649.58949413424	181489.42349413424
403	-111504.94649413424	181493.94649413423
404	-111350.10349413424	181498.46849413423
405	-111838.06149413424	181502.99149413424
406	-111687.43349413424	181507.51349413424
407	-109917.64349413424	181512.03649413423
408	-109763.21549413425	181516.55849413422
409	-107861.87349413424	181521.08149413424
410	-107698.09149413423	181525.60449413423
411	-105592.68349413424	181530.12649413425
412	-105423.37049413424	181534.64949413424
413	-107746.46349413424	181539.17149413424
414	-107583.46049413424	181543.69449413425
415	-104356.16849413424	181548.21649413425
416	-104192.87949413423	181552.73949413424
417	-105593.76649413424	181557.26149413423
418	-105418.80049413424	181561.78449413425
419	-107521.01249413424	181566.30649413425
420	-107357.86849413424	181570.82949413423
421	-108599.45449413423	181575.35249413425
422	-108439.65249413424	181579.87449413424
423	-108065.58049413424	181584.39749413423
424	-107906.60949413425	181588.91949413423
425	-105049.59249413424	181593.44249413424
426	-104869.61749413423	181597.96449413424
427	-108322.87849413425	181602.48749413423
428	-108170.06449413423	181607.00949413422
429	-108452.36049413423	181611.53249413424
430	-108290.47149413424	181616.05449413424
431	-100171.77049413424	181620.57749413422
432	-99976.09849413423	181625.09949413425
433	-106562.84349413424	181629.62249413424
434	-106395.11249413424	181634.14549413425
435	-106443.88149413424	181638.66749413425
436	-106282.77349413424	181643.19049413424
437	-101771.73249413424	181647.71249413423
438	-101594.11449413424	181652.23549413425
439	-102977.79949413423	181656.75749413425
440	-102795.74549413424	181661.28049413423
441	-107848.82849413424	181665.80249413423
442	-107677.82249413423	181670.32549413425
443	-107457.15849413424	181674.84749413424
444	-107296.94349413423	181679.37049413423
445	-95443.87349413424	181683.89349413424
446	-95256.56649413424	181688.41549413424
447	-107667.79349413424	181692.93849413423
448	-107496.26649413424	181697.46049413423
449	-105099.93249413423	181701.98349413424
450	-104929.63249413423	181706.50549413424
451	-94339.73649413424	181711.02849413423
452	-94153.76149413423	181715.55049413425
453	-98769.45149413423	181720.07349413424
454	-98583.08149413424	181724.59549413424
455	-92384.40649413424	181729.11849413425
456	-92189.08749413423	181733.64149413424
457	-100549.51749413424	181738.16349413423
458	-100381.14149413424	181742.68649413425
459	-90624.89449413423	181747.20849413425
460	-90409.84549413424	181751.73149413423
461	-105446.42049413423	181756.25349413423
462	-105270.81449413423	181760.77649413425
463	-100957.20649413424	181765.29849413424
464	-100779.11749413423	181769.82149413423
465	-98096.91649413423	181774.34349413423
466	-97906.29349413424	181778.86649413424
467	-85329.88149413424	181783.38849413424
468	-85109.48049413424	181787.91149413423
469	-96017.67149413424	181792.43449413424
470	-95837.56949413424	181796.95649413424
471	-106827.77849413424	181801.47949413423
472	-106661.97549413424	181806.00149413425
473	-95854.20049413425	181810.52449413424
474	-95669.44149413424	181815.04649413424
475	-106962.75249413424	181819.56949413425
476	-106796.42049413423	181824.09149413425
477	-105419.51849413424	181828.61449413424
478	-105257.01349413424	181833.13649413423
479	-102834.43249413423	181837.65949413425
480	-102660.60849413424	181842.18249413423
481	-81284.28449413423	181846.70449413423
482	-81064.21749413424	181851.22749413425
483	-97169.41749413424	181855.74949413424
484	-96969.03449413423	181860.27249413423
485	-87181.63449413424	181864.79449413423
486	-86967.98349413424	181869.31749413424
487	-98088.40549413423	181873.83949413424
488	-97905.09149413423	181878.36249413423
489	-103015.62349413424	181882.88449413422
490	-102849.95249413424	181887.40749413424
491	-102290.79049413424	181891.93049413423
492	-102120.46349413424	181896.45249413422
493	-97251.16149413424	181900.97549413424
494	-97053.18149413425	181905.49749413424
495	-74823.28249413424	181910.02049413425
496	-74578.75849413424	181914.54249413425
497	-82055.81949413424	181919.06549413424
498	-81824.33849413424	181923.58749413423
499	-88152.22749413423	181928.11049413425
500	-87949.77649413423	181932.63249413425
501	-89634.88449413424	181937.15549413423
502	-89440.63649413423	181941.67749413423
503	-92014.87349413424	181946.20049413425
504	-91812.64549413424	181950.72349413423
505	-97946.89049413423	181955.24549413423
506	-97779.96449413424	181959.76849413424
507	-102568.24949413424	181964.29049413424
508	-102403.25349413425	181968.81349413423
509	-88719.86149413424	181973.33549413423
510	-88514.60449413424	181977.85849413424
511	-98378.46449413424	181982.38049413424
512	-98204.20149413423	181986.90349413423
513	-100097.23849413423	181991.42549413425
514	-99931.78849413423	181995.94849413424
515	-87882.02149413424	182000.47149413422
516	-87699.21049413424	182004.99349413425
517	-105560.47949413424	182009.51649413424
518	-105413.87049413424	182014.03849413423
519	-94223.21249413423	182018.56149413425
520	-94044.33149413424	182023.08349413425
521	-94296.97949413424	182027.60649413423
522	-94104.04149413423	182032.12849413423
523	-76381.05949413424	182036.65149413425
524	-76158.98149413423	182041.17349413424
525	-86765.19849413424	182045.69649413423
526	-86573.52049413424	182050.21949413425
527	-96851.06649413424	182054.74149413424
528	-96669.03349413424	182059.26449413423
529	-68859.74449413424	182063.78649413423
530	-68635.87749413424	182068.30949413424
531	-96017.06049413423	182072.83149413424
532	-95842.09049413425	182077.35449413423
533	-92455.85649413423	182081.87649413425
534	-92280.15949413423	182086.39949413424
535	-96214.08749413423	182090.92149413424
536	-96055.69349413423	182095.44449413425
537	-80713.04149413423	182099.96649413425
538	-80506.93449413424	182104.48949413424
539	-88547.42449413423	182109.01249413425
540	-88338.83249413424	182113.53449413425
541	-93391.16149413424	182118.05749413423
542	-93208.82949413423	182122.57949413423
543	-86104.49649413423	182127.10249413425
544	-85900.61049413423	182131.62449413424
545	-92704.62849413425	182136.14749413423
546	-92537.31249413424	182140.66949413423
547	-90977.54849413424	182145.19249413424
548	-90811.94249413424	182149.71449413424
549	-73967.65249413424	182154.23749413423
550	-73755.16949413424	182158.76049413424
551	-68477.05849413424	182163.28249413424
552	-68255.02849413424	182167.80549413423
553	-86608.99249413423	182172.32749413422
554	-86405.18249413423	182176.85049413424
555	-90744.73849413423	182181.37249413424
556	-90562.99849413424	182185.89549413425
557	-69491.92249413424	182190.41749413425
558	-69280.60549413424	182194.94049413424
559	-85479.10049413424	182199.46249413423
560	-85277.13849413424	182203.98549413425
561	-84659.31049413423	182208.50849413424
562	-84475.86949413424	182213.03049413423
563	-87490.16049413424	182217.55349413425
564	-87296.68549413423	182222.07549413425
565	-76405.42549413424	182226.59849413423
566	-76202.21749413424	182231.12049413423
567	-84566.92849413423	182235.64349413424
568	-84385.54949413423	182240.16549413424
569	-84121.43149413425	182244.68849413423
570	-83925.47149413424	182249.21049413423
571	-84280.69949413424	182253.73349413424
572	-84107.38049413424	182258.25549413424
573	-80754.19749413423	182262.77849413423
574	-80546.05549413424	182267.30149413424
